"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-01","0.0","11.2","16.3","7.5"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-02","0.0","10.9","15.0","7.8"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-03","0.0","11.4","14.7","8.7"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-04","13.9","13.1","18.5","9.5"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-05","0.2","10.4","14.2","5.8"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-06","0.0","6.4","12.4","2.2"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-07","0.0","6.0","12.8","2.7"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-08","0.0","8.7","13.4","5.4"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-09","0.0","12.4","16.6","8.9"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-10","0.1","10.5","12.8","9.8"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-11","0.0","10.3","15.0","6.9"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-12","0.0","8.8","13.1","5.3"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-13","0.0","6.4","12.8","2.5"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-14","0.0","6.3","14.1","2.0"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-15","0.0","6.4","13.7","1.3"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-16","0.0","6.2","14.3","1.7"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-17","0.0","6.8","15.4","2.4"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-18","0.0","7.1","13.2","3.0"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-19","0.0","6.8","13.4","3.2"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-20","0.0","7.3","13.7","3.1"
"SP000008181","BARCELONA AEROPUERTO, SP","2022-01-21","0.0","6.5","11.4","3.4"
