"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","2022-01-01","2.5",,"13.3","15.7","12.5"
"UKM00003772","HEATHROW, UK","2022-01-02","1.3",,"11.5",,
"UKM00003772","HEATHROW, UK","2022-01-03","0.5",,"9.8",,
"UKM00003772","HEATHROW, UK","2022-01-04","0.0",,"5.1",,
"UKM00003772","HEATHROW, UK","2022-01-05","4.3",,"3.0","6.6",
"UKM00003772","HEATHROW, UK","2022-01-06","0.0",,"2.5","7.3","-3.5"
"UKM00003772","HEATHROW, UK","2022-01-07","1.3",,"3.8","6.2",
"UKM00003772","HEATHROW, UK","2022-01-08","0.3",,"6.2","10.5","-0.1"
"UKM00003772","HEATHROW, UK","2022-01-09","5.1",,"4.6","8.9","1.8"
"UKM00003772","HEATHROW, UK","2022-01-10","0.0",,"5.7",,"2.0"
"UKM00003772","HEATHROW, UK","2022-01-11","0.5",,"9.3","10.4",
"UKM00003772","HEATHROW, UK","2022-01-12","2.5",,"4.8","9.1",
"UKM00003772","HEATHROW, UK","2022-01-13","0.0",,"3.3","9.6",
"UKM00003772","HEATHROW, UK","2022-01-14","0.3",,"3.1","9.5","-1.5"
"UKM00003772","HEATHROW, UK","2022-01-15","0.0",,"2.9","5.8",
"UKM00003772","HEATHROW, UK","2022-01-16","0.3",,"6.1","9.5",
"UKM00003772","HEATHROW, UK","2022-01-17","0.0",,"3.7","10.3",
"UKM00003772","HEATHROW, UK","2022-01-18","0.0",,"2.3","7.5","-3.2"
"UKM00003772","HEATHROW, UK","2022-01-19","0.3",,"6.1","9.4",
"UKM00003772","HEATHROW, UK","2022-01-20","0.0",,"3.0","6.0","0.2"
"UKM00003772","HEATHROW, UK","2022-01-21","0.0",,"1.9",,"-2.6"
"UKM00003772","HEATHROW, UK","2022-01-22","0.0",,"4.9","6.1","0.8"
"UKM00003772","HEATHROW, UK","2022-01-23","0.0",,"5.5","6.2","4.8"
"UKM00003772","HEATHROW, UK","2022-01-24","0.0",,"4.2",,
"UKM00003772","HEATHROW, UK","2022-01-25","0.0",,"2.4",,
"UKM00003772","HEATHROW, UK","2022-01-26","0.0",,"5.2","8.7","1.8"
"UKM00003772","HEATHROW, UK","2022-01-27","0.0",,"8.3","13.1",
"UKM00003772","HEATHROW, UK","2022-01-28","0.0",,"5.4","10.5","0.1"
"UKM00003772","HEATHROW, UK","2022-01-29","0.0",,"10.4","14.0",
"UKM00003772","HEATHROW, UK","2022-01-30","0.0",,"5.0","8.9",
"UKM00003772","HEATHROW, UK","2022-01-31","0.5",,"6.8",,
"UKM00003772","HEATHROW, UK","2022-02-01","0.5",,"10.1","14.8","3.9"
"UKM00003772","HEATHROW, UK","2022-02-02","0.0",,"9.9","12.2",
"UKM00003772","HEATHROW, UK","2022-02-03","0.0",,"9.0","10.1",
"UKM00003772","HEATHROW, UK","2022-02-04","0.0",,"7.1","10.3",
"UKM00003772","HEATHROW, UK","2022-02-05","3.8",,"6.7","11.0","2.0"
"UKM00003772","HEATHROW, UK","2022-02-06","0.5",,"9.2","11.7",
"UKM00003772","HEATHROW, UK","2022-02-07","1.5",,"6.9",,
"UKM00003772","HEATHROW, UK","2022-02-08","0.0",,"11.1",,"9.2"
